,id,question,options,answer,solution,level,subject,image,model_answer,extraction,match
0,1,"Which number should be written in place of the question mark?
<image1>",[],60,,2,arithmetic,images/1.jpg,"Step 1: The difference between each number and the previous number is 10.
Step 2: 80 - 70 = 10, 70 - 60 = 10, 60 - 50 = 10, 50 - 40 = 10, 40 - 30 = 10.
Step 3: 90 - 80 = 10, 80 - 70 = 10, 70 - 60 = 10, 60 - 50 = 10, 50 - 40 = 10, 40 - 30 = 10.
Step 4: The number before 70 is 80, and the number after 70 should be 60.
†Answer: 60",Answer: 60,0
1,2,"Which bike is most expensive?
<image1> A. A B. B C. C D. D E. E","['A', 'B', 'C', 'D', 'E']",A,,2,arithmetic,images/2.jpg,"Step 1: Compare the prices of each bike.
Step 2: 980 > 950 > 899 > 891 > 509.
Step 3: Bike A is priced at 980, which is the highest.
†Answer: A",Answer: A,0
2,3,"Which kite has the longest string?
<image1> A. A B. B C. C D. D E. E","['A', 'B', 'C', 'D', 'E']",C,,1,metric geometry - length,images/3.jpg,"Step 1: Observe the length of the strings in each kite.
Step 2: Kite A has the longest string.
†Answer: A",Answer: A,1
3,4,"How many different digits can you find in this picture?
<image1>",[],6,,1,counting,images/4.jpg,"Step 1: Observe the numbers in the image.
Step 2: The numbers in the image are 0, 5, 8, and 9.
Step 3: There are 4 different numbers.
†Answer: 4",Answer: 4,1
4,5,"Which number do you have to write in the last daisy?
<image1>",[],61,,2,arithmetic,images/5.jpg,"Step 1: 8 + 20 = 28.
Step 2: 28 - 9 = 19.
Step 3: 19 - 6 = 13.
Step 4: 13 + 30 = 43.
†Answer: 43",Answer: 43,1
5,6,"Misty the cat has five kittens: two of them are striped, one spotty, the rest of them are absolutely white. In which picture can we see the kittens of Misty, knowing that the ears of one of them are of different colour?
<image1> A. A B. B C. C D. D E. E","['A', 'B', 'C', 'D', 'E']",D,,3,logic,images/6.jpg,"Step 1: Identify the characteristics of the cats in the image. Look for a cat with different colored ears.
Step 2: Observe the cat in image D. It has white ears.
Step 3: Confirm that the cat in image D matches the description of Misty's cat.
†Answer: D",Answer: D,0
6,7,"How many bricks are missing in the wall?
<image1>",[],6,,1,counting,images/7.jpg,"Step 1: Observe the wall and count the number of missing bricks.
Step 2: Count the missing bricks from left to right, top to bottom.
Step 3: There are 8 missing bricks in total.
†Answer: 8",Answer: 8,1
7,8,"The sums of the all the three numbers on each side of the triangle are equal. Two numbers happened to be stained with ink. How much is the sum of these two numbers?
<image1>",[],2,,2,arithmetic,images/8.jpg,"Step 1: 1 + 6 + 3 = 10.
Step 2: 7 + 1 + 6 = 14.
Step 3: 7 + 3 + x = 14.
Step 4: x = 14 - 7 - 3.
Step 5: x = 4.
Step 6: 7 + 4 + 3 = 14.
Step 7: 1 + 6 + y = 14.
Step 8: y = 14 - 1 - 6.
Step 9: y = 7.
Step 10: 7 + 4 + 3 = 14.
†Answer: 11",Answer: 11,1
8,9,"A squirrel is following the paths of labyrinth and collecting food for winter. Which stuff it will not be able to take?
<image1> A. A B. B C. C D. D E. E","['A', 'B', 'C', 'D', 'E']",D,,1,graph theory,images/9.jpg,"Step 1: The squirrel starts from the top-left corner and follows the path of the maze.
Step 2: The squirrel collects food at each node.
Step 3: The squirrel will not be able to collect the food at position E because it is blocked by a wall.
†Answer: E",Answer: E,1
9,10,"Four people can be seated at a square table. How many people at most could be seated if we pushed four tables of this kind together in one row?
<image1>",[],10,,2,arithmetic,images/10.jpg,"Step 1: 1 square table can seat 4 people.
Step 2: Each additional table adds 2 more seats.
Step 3: 4 tables together can seat 4 + 3 * 2 = 10 people.
†Answer: 10",Answer: 10,0
