,Unnamed: 0,question,image,choices,unit,precision,answer,question_type,answer_type,pid,metadata,query,origin_question,response,extraction,match,task
0,0,"When a spring does work on an object, we cannot find the work by simply multiplying the spring force by the object's displacement. The reason is that there is no one value for the force-it changes. However, we can split the displacement up into an infinite number of tiny parts and then approximate the force in each as being constant. Integration sums the work done in all those parts. Here we use the generic result of the integration.

In Figure, a cumin canister of mass $m=0.40 \mathrm{~kg}$ slides across a horizontal frictionless counter with speed $v=0.50 \mathrm{~m} / \mathrm{s}$. It then runs into and compresses a spring of spring constant $k=750 \mathrm{~N} / \mathrm{m}$. When the canister is momentarily stopped by the spring, by what distance $d$ is the spring compressed?",images/1.jpg,,,1.0,1.2,free_form,float,1,"{'split': 'testmini', 'language': 'english', 'img_width': 1514, 'img_height': 720, 'source': 'SciBench', 'category': 'math-targeted-vqa', 'task': 'textbook question answering', 'context': 'scientific figure', 'grade': 'college', 'skills': ['scientific reasoning']}","You are given a problem with image, please solve the problem step by step. 
Question:When a spring does work on an object, we cannot find the work by simply multiplying the spring force by the object's displacement. The reason is that there is no one value for the force-it changes. However, we can split the displacement up into an infinite number of tiny parts and then approximate the force in each as being constant. Integration sums the work done in all those parts. Here we use the generic result of the integration.

In Figure, a cumin canister of mass $m=0.40 \mathrm{~kg}$ slides across a horizontal frictionless counter with speed $v=0.50 \mathrm{~m} / \mathrm{s}$. It then runs into and compresses a spring of spring constant $k=750 \mathrm{~N} / \mathrm{m}$. When the canister is momentarily stopped by the spring, by what distance $d$ is the spring compressed?","When a spring does work on an object, we cannot find the work by simply multiplying the spring force by the object's displacement. The reason is that there is no one value for the force-it changes. However, we can split the displacement up into an infinite number of tiny parts and then approximate the force in each as being constant. Integration sums the work done in all those parts. Here we use the generic result of the integration.

In Figure, a cumin canister of mass $m=0.40 \mathrm{~kg}$ slides across a horizontal frictionless counter with speed $v=0.50 \mathrm{~m} / \mathrm{s}$. It then runs into and compresses a spring of spring constant $k=750 \mathrm{~N} / \mathrm{m}$. When the canister is momentarily stopped by the spring, by what distance $d$ is the spring compressed?","Step 1: The initial kinetic energy of the canister is given by:
$KE_i = \frac{1}{2}mv^2 = \frac{1}{2}(0.40 \text{ kg})(0.50 \text{ m/s})^2 = 0.05 \text{ J}$

Step 2: The final kinetic energy of the canister is zero since it is momentarily stopped.

Step 3: The work done by the spring is equal to the change in kinetic energy:
$W = KE_i - KE_f = 0.05 \text{ J} - 0 = 0.05 \text{ J}$

Step 4: The work done by the spring is given by:
$W = \int_0^d kx dx = \frac{1}{2}kd^2$

Step 5: Equating the work done by the spring to the change in kinetic energy:
$\frac{1}{2}kd^2 = 0.05 \text{ J}$

Step 6: Solving for d:
$d^2 = \frac{2(0.05 \text{ J})}{750 \text{ N/m}} = \frac{0.1 \text{ J}}{750 \text{ N/m}} = \frac{0.1}{750} \text{ m}^2$
$d = \sqrt{\frac{0.1}{750}} \text{ m} = \sqrt{0.0001333} \text{ m} \approx 0.0115 \text{ m}$

†Answer: 0.0115 m",Answer: 0.0115 m,1,textbook question answering
1,1,what is the total volume of the measuring cup? (Unit: g),images/2.jpg,,g,,1000,free_form,integer,2,"{'split': 'testmini', 'language': 'english', 'img_width': 1024, 'img_height': 768, 'source': 'TextVQA', 'category': 'general-vqa', 'task': 'visual question answering', 'context': 'natural image', 'grade': 'not applicable', 'skills': ['numeric commonsense', 'arithmetic reasoning']}","You are given a problem with image, please solve the problem step by step. 
Question:what is the total volume of the measuring cup? (Unit: g)",what is the total volume of the measuring cup?,"Step 1: Observe the image and locate the measuring cup.
Step 2: Identify the markings on the measuring cup that indicate the total volume.
Step 3: Read the total volume marking on the measuring cup.  The image shows the total volume is 1000g.

†Answer: 1000",Answer: 1000,0,visual question answering
2,2,"△ABC的两内角平分线OB、OC相交于点O，若∠A＝110°，则∠BOC＝（）
Choices:
(A) 135°
(B) 140°
(C) 145°
(D) 150°",images/3.jpg,"['135°', '140°', '145°', '150°']",,,145°,multi_choice,text,3,"{'split': 'testmini', 'language': 'chinese', 'img_width': 131, 'img_height': 60, 'source': 'GeoQA+', 'category': 'math-targeted-vqa', 'task': 'geometry problem solving', 'context': 'geometry diagram', 'grade': 'high school', 'skills': ['geometry reasoning', 'algebraic reasoning']}","You are given a problem with image, please solve the problem step by step. 
Question:△ABC的两内角平分线OB、OC相交于点O，若∠A＝110°，则∠BOC＝（）
Choices:
(A) 135°
(B) 140°
(C) 145°
(D) 150°",△ABC的两内角平分线OB、OC相交于点O，若∠A＝110°，则∠BOC＝（）,"Step 1: We are given that OB and OC are the angle bisectors of angles B and C respectively.  In triangle ABC, the sum of angles is 180°. Therefore, ∠B + ∠C = 180° - ∠A = 180° - 110° = 70°.

Step 2: Since OB and OC are angle bisectors, we have ∠OBC = ∠B/2 and ∠OCB = ∠C/2.  Therefore, ∠OBC + ∠OCB = (∠B + ∠C)/2 = 70°/2 = 35°.

Step 3: In triangle BOC, the sum of angles is 180°.  Therefore, ∠BOC + ∠OBC + ∠OCB = 180°.  Substituting the value from step 2, we get ∠BOC + 35° = 180°.

Step 4: Solving for ∠BOC, we find ∠BOC = 180° - 35° = 145°.

†Answer: C",Answer: C,0,geometry problem solving
3,3,Subtract all large rubber spheres. Subtract all big shiny cylinders. How many objects are left?,images/4.jpg,,,,4,free_form,integer,4,"{'split': 'testmini', 'language': 'english', 'img_width': 320, 'img_height': 240, 'source': 'CLEVR-Math', 'category': 'math-targeted-vqa', 'task': 'math word problem', 'context': 'synthetic scene', 'grade': 'elementary school', 'skills': ['geometry reasoning', 'arithmetic reasoning']}","You are given a problem with image, please solve the problem step by step. 
Question:Subtract all large rubber spheres. Subtract all big shiny cylinders. How many objects are left?",Subtract all large rubber spheres. Subtract all big shiny cylinders. How many objects are left?,"Step 1: Identify the large rubber spheres. There is one large green rubber sphere.

Step 2: Subtract the large rubber sphere.  This leaves 5 objects.

Step 3: Identify the big shiny cylinders. There is one large gold cylinder.

Step 4: Subtract the large shiny cylinder. This leaves 4 objects.

†Answer: 4",Answer: 4,0,math word problem
4,4,"Find $m\angle H$
Choices:
(A) 97
(B) 102
(C) 107
(D) 122",images/5.jpg,"['97', '102', '107', '122']",,,97,multi_choice,text,5,"{'split': 'testmini', 'language': 'english', 'img_width': 322, 'img_height': 245, 'source': 'Geometry3K', 'category': 'math-targeted-vqa', 'task': 'geometry problem solving', 'context': 'geometry diagram', 'grade': 'high school', 'skills': ['geometry reasoning', 'algebraic reasoning']}","You are given a problem with image, please solve the problem step by step. 
Question:Find $m\angle H$
Choices:
(A) 97
(B) 102
(C) 107
(D) 122",Find $m\angle H$,"Step 1: The sum of the interior angles of a pentagon is (5-2) * 180° = 540°.
Step 2: Set up an equation representing the sum of the interior angles of the pentagon: x + (x + 20) + (x + 5) + (x - 5) + (x + 10) = 540.
Step 3: Simplify the equation: 5x + 30 = 540.
Step 4: Subtract 30 from both sides: 5x = 510.
Step 5: Divide both sides by 5: x = 102.
Step 6: Substitute x = 102 into the expression for angle H: m∠H = x + 10 = 102 + 10 = 112.
Step 7: However, the question asks for the value of m∠H, which is (x-5).  Substitute x = 102 into (x-5): m∠H = 102 - 5 = 97.

†Answer: A",Answer: A,0,geometry problem solving
5,5,"As shown in the figure, if CB = 4.0, DB = 7.0, and D is the midpoint of AC, then the length of AC is ()
Choices:
(A) 6cm
(B) 7cm
(C) 4cm
(D) 5cm",images/6.jpg,"['6cm', '7cm', '4cm', '5cm']",,,6cm,multi_choice,text,6,"{'split': 'testmini', 'language': 'english', 'img_width': 203, 'img_height': 30, 'source': 'UniGeo', 'category': 'math-targeted-vqa', 'task': 'geometry problem solving', 'context': 'geometry diagram', 'grade': 'high school', 'skills': ['geometry reasoning', 'algebraic reasoning']}","You are given a problem with image, please solve the problem step by step. 
Question:As shown in the figure, if CB = 4.0, DB = 7.0, and D is the midpoint of AC, then the length of AC is ()
Choices:
(A) 6cm
(B) 7cm
(C) 4cm
(D) 5cm","As shown in the figure, if CB = 4.0, DB = 7.0, and D is the midpoint of AC, then the length of AC is ()","Step 1: We are given that CB = 4.0 and DB = 7.0.  Since D is the midpoint of AC, we know that AD = DC.

Step 2: We can find the length of CD by subtracting CB from DB: CD = DB - CB = 7.0 - 4.0 = 3.0

Step 3: Since D is the midpoint of AC, AC = 2 * CD = 2 * 3.0 = 6.0

†Answer: A",Answer: A,0,geometry problem solving
6,6,"What time is shown? Answer by typing a time word, not a number. It is (_) after eight.
Choices:
(A) half
(B) quarter
(C) o'clock
(D) quarter to
(E) quarter past",images/7.jpg,"['half', 'quarter', ""o'clock"", 'quarter to', 'quarter past']",,,quarter,multi_choice,text,7,"{'split': 'testmini', 'language': 'english', 'img_width': 203, 'img_height': 204, 'source': 'IconQA', 'category': 'math-targeted-vqa', 'task': 'math word problem', 'context': 'abstract scene', 'grade': 'elementary school', 'skills': ['numeric commonsense']}","You are given a problem with image, please solve the problem step by step. 
Question:What time is shown? Answer by typing a time word, not a number. It is (_) after eight.
Choices:
(A) half
(B) quarter
(C) o'clock
(D) quarter to
(E) quarter past","What time is shown? Answer by typing a time word, not a number. It is (_) after eight.","Step 1: Observe the clock's hour and minute hands. The hour hand is between the 8 and 9, indicating it's after 8 o'clock.

Step 2: The minute hand points to the 3.  Each number on the clock represents 5 minutes.  Therefore, the minute hand is pointing to 15 minutes past the hour.

Step 3: 15 minutes is a quarter of an hour (60 minutes / 4 = 15 minutes).

Step 4: The time shown is a quarter past eight.

†Answer: E",Answer: E,1,math word problem
7,7,"Is the number of tiny gray bicycles that are on the left side of the brown metal sedan greater than the number of things that are to the left of the tiny green bicycle?
Choices:
(A) Yes
(B) No",images/8.jpg,"['Yes', 'No']",,,Yes,multi_choice,text,8,"{'split': 'testmini', 'language': 'english', 'img_width': 640, 'img_height': 480, 'source': 'Super-CLEVR', 'category': 'general-vqa', 'task': 'visual question answering', 'context': 'synthetic scene', 'grade': 'not applicable', 'skills': ['arithmetic reasoning']}","You are given a problem with image, please solve the problem step by step. 
Question:Is the number of tiny gray bicycles that are on the left side of the brown metal sedan greater than the number of things that are to the left of the tiny green bicycle?
Choices:
(A) Yes
(B) No",Is the number of tiny gray bicycles that are on the left side of the brown metal sedan greater than the number of things that are to the left of the tiny green bicycle?,"Step 1: Count the number of tiny gray bicycles on the left side of the brown metal sedan. There is only one tiny gray bicycle.

Step 2: Count the number of things to the left of the tiny green bicycle. There are two things to the left of the tiny green bicycle: a red motorcycle and a red bicycle.

Step 3: Compare the two counts. The number of tiny gray bicycles (1) is less than the number of things to the left of the tiny green bicycle (2).

†Answer: B",Answer: B,1,visual question answering
8,8,"如图是一株美丽的勾股树，其中所有四边形都是正方形，所有的三角形都是直角三角形，若正方形A、B的面积分别为5、3，则最大正方形C的面积是（）
Choices:
(A) 15
(B) 13
(C) 11
(D) 8",images/9.jpg,"['15', '13', '11', '8']",,,8,multi_choice,text,9,"{'split': 'testmini', 'language': 'chinese', 'img_width': 134, 'img_height': 155, 'source': 'GeoQA+', 'category': 'math-targeted-vqa', 'task': 'geometry problem solving', 'context': 'geometry diagram', 'grade': 'high school', 'skills': ['geometry reasoning', 'algebraic reasoning']}","You are given a problem with image, please solve the problem step by step. 
Question:如图是一株美丽的勾股树，其中所有四边形都是正方形，所有的三角形都是直角三角形，若正方形A、B的面积分别为5、3，则最大正方形C的面积是（）
Choices:
(A) 15
(B) 13
(C) 11
(D) 8",如图是一株美丽的勾股树，其中所有四边形都是正方形，所有的三角形都是直角三角形，若正方形A、B的面积分别为5、3，则最大正方形C的面积是（）,"Step 1: Let the side lengths of squares A and B be $a$ and $b$ respectively. Then $a^2 = 5$ and $b^2 = 3$.
Step 2: The hypotenuse of the right-angled triangle formed by squares A and B is the side length of square C, which we denote as $c$.
Step 3: By the Pythagorean theorem, we have $c^2 = a^2 + b^2$.
Step 4: Substituting the values of $a^2$ and $b^2$, we get $c^2 = 5 + 3 = 8$.
Step 5: Therefore, the area of square C is $c^2 = 8$.

†Answer: D",Answer: D,0,geometry problem solving
9,9,"Which object comes next?
Choices:
(A) A
(B) B
(C) C
(D) D
(E) E",images/10.jpg,"['A', 'B', 'C', 'D', 'E']",,,E,multi_choice,text,10,"{'split': 'testmini', 'language': 'english', 'img_width': 376, 'img_height': 418, 'source': 'IQTest', 'category': 'math-targeted-vqa', 'task': 'figure question answering', 'context': 'puzzle test', 'grade': 'elementary school', 'skills': ['logical reasoning']}","You are given a problem with image, please solve the problem step by step. 
Question:Which object comes next?
Choices:
(A) A
(B) B
(C) C
(D) D
(E) E",Which object comes next?,"StepStep 1: Observe the sequence of images. The sequence is: C, D, E, 8, T, F.

Step 2: Identify the pattern. The pattern is that the images are arranged in a sequence of letters and numbers.

Step 3: Determine the next object. The next object in the sequence is A.

†Answer: A",Answer: A,1,figure question answering
